,site,location,pcn_network,provider,acute,postcode,parent,telephone,contact_name_1,contact_name_2,practice_code,service_type,parent_link,code,borough,email_1,email_2,link,email_3,apron-rag,goggles-stock-levels,masks-iir-rag,apron-stock-levels,gloves-stock-levels,goggles-rag,updated,apron-quantity_used,masks-ffp3-rag,masks-ffp3-quantity_used,gowns-stock-levels,masks-ffp2-rag,gowns-quantity_used,face-visors-quantity_used,gloves-stock-levels-note,masks-ffp2-quantity_used,gloves-quantity_used,gowns-rag,masks-ffp2-stock-levels,masks-iir-quantity_used,masks-iir-stock-levels,hand-hygiene-stock-levels,last_update,masks-ffp3-stock-levels,hand-hygiene-stock-levels-note,face-visors-stock-levels,hand-hygiene-rag,gloves-rag,face-visors-rag,goggles-stock-levels-note,goggles-quantity_used,hand-hygiene-quantity_used
0,Abbey Medical Centre IG11 8RJ,"1 Harpour Road, BARKING",New West,Abbey Medical Centre IG11 8RJ,no,IG11 8RJ,,020 7890 1234,Owen Peck,Dr Justine Vickers,F82625,Primary Care,,44d61ca8-32c7-4e3c-a756-20d07e64af6f,Barking & Dagenham,Owen.Peck@nhs.net,Justine.Vickers@nhs.net,https://europe-west2-ppe-inventory-demo.cloudfunctions.net/register?site=Abbey Medical Centre IG11 8RJ&code=44d61ca8-32c7-4e3c-a756-20d07e64af6f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Abbey Road Medical Practice E15 3LT,"28A Abbey Road, LONDON",Leaside Network,Abbey Road Medical Practice E15 3LT,no,E15 3LT,,020 7890 1234,Genevieve Serrano,Dr Neelam Burt,F84111,Primary Care,,7fe00cff-8120-4acf-ae0b-95579c63b72f,Newham,Genevieve.Serrano@nhs.net,Neelam.Burt@nhs.net,https://europe-west2-ppe-inventory-demo.cloudfunctions.net/register?site=Abbey Road Medical Practice E15 3LT&code=7fe00cff-8120-4acf-ae0b-95579c63b72f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Aberfeldy Practice E14 0PU,"2A Ettrick Street, LONDON",Poplar and Limehouse,Aberfeldy Practice E14 0PU,no,E14 0PU,,020 7890 1234,Tamar Salas,Dr Eoghan Ware,F84698,Primary Care,,ce4dc0d4-6d7c-4422-8ec5-bb83bf06fb6b,Tower Hamlets,Tamar.Salas@nhs.net,Eoghan.Ware@nhs.net,https://europe-west2-ppe-inventory-demo.cloudfunctions.net/register?site=Aberfeldy Practice E14 0PU&code=ce4dc0d4-6d7c-4422-8ec5-bb83bf06fb6b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Addison Road Medical Practice E17 9LY,"Comely Bank Clinic, Walthamstow, LONDON",Walthamstow Central,Addison Road Medical Practice E17 9LY,no,E17 9LY,,020 7890 1234,Sofie Mcghee,Dr Jadon Bailey,F86607,Primary Care,,e00b6d6b-cdb6-49a2-87b8-e90f5ffe1c55,Waltham Forest,Sofie.Mcghee@nhs.net,Jadon.Bailey@nhs.net,https://europe-west2-ppe-inventory-demo.cloudfunctions.net/register?site=Addison Road Medical Practice E17 9LY&code=e00b6d6b-cdb6-49a2-87b8-e90f5ffe1c55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Albert Road Surgery E16 2DY,"76 Albert Road , LONDON",Docklands,Albert Road Surgery E16 2DY,no,E16 2DY,,020 7890 1234,Kelan Lu,Dr Ana Carlson,Y02928,Primary Care,,a28b0dfc-0651-4b35-b0f0-f50bc578b61e,Newham,Kelan.Lu@nhs.net,Ana.Carlson@nhs.net,https://europe-west2-ppe-inventory-demo.cloudfunctions.net/register?site=Albert Road Surgery E16 2DY&code=a28b0dfc-0651-4b35-b0f0-f50bc578b61e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Albion Health Centre E1 1BU,"333 Whitechapel Road, LONDON",East End Health,Albion Health Centre E1 1BU,no,E1 1BU,,020 7890 1234,Cristina Davidson,Dr Pola Farmer,F84012,Primary Care,,72db16ab-52e9-4e8f-a5b1-08fcc4cccbeb,Tower Hamlets,Cristina.Davidson@nhs.net,Pola.Farmer@nhs.net,https://europe-west2-ppe-inventory-demo.cloudfunctions.net/register?site=Albion Health Centre E1 1BU&code=72db16ab-52e9-4e8f-a5b1-08fcc4cccbeb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Aldersbrook Medical Centre E12 5DL,"65 Aldersbrook Road, LONDON",Wanstead & Woodford,Aldersbrook Medical Centre E12 5DL,no,E12 5DL,,020 7890 1234,Desiree Morton,Dr Conor Villarreal,F86731,Primary Care,,16b0fd38-32c8-476a-bf03-09b41b0c0479,,Desiree.Morton@nhs.net,Conor.Villarreal@nhs.net,https://europe-west2-ppe-inventory-demo.cloudfunctions.net/register?site=Aldersbrook Medical Centre E12 5DL&code=16b0fd38-32c8-476a-bf03-09b41b0c0479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Allerton Road Surgery N16 5UF,"34a Allerton Road, LONDON",Woodberry Wetlands,Allerton Road Surgery N16 5UF,no,N16 5UF,,020 7890 1234,Dotty Wall,Dr Phoebe Richards,F84716,Primary Care,,5bcc7b56-f93a-41bb-9b7e-5626ac8c8e98,City and Hackney,Dotty.all@nhs.net,Phoebe.Richards@nhs.net,https://europe-west2-ppe-inventory-demo.cloudfunctions.net/register?site=Allerton Road Surgery N16 5UF&code=5bcc7b56-f93a-41bb-9b7e-5626ac8c8e98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Athena Medical Centre E5 0QP,"21 Atherden Road, LONDON",Hackney Marshes,Athena Medical Centre E5 0QP,no,E5 0QP,,020 7890 1234,Meghan Mcculloch,Dr George Taylor,F84060,Primary Care,,c181477f-a1c5-4479-8530-d4a95fda5f26,City and Hackney,Meghan.Mcculloch@nhs.net,George.Taylor@nhs.net,https://europe-west2-ppe-inventory-demo.cloudfunctions.net/register?site=Athena Medical Centre E5 0QP&code=c181477f-a1c5-4479-8530-d4a95fda5f26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Avon Road Surgery RM14 1RG,"108 Avon Road, UPMINSTER",South,Avon Road Surgery RM14 1RG,no,RM14 1RG,,020 7890 1234,Nabil Clifford,Dr Yaseen Adam,F82674,Primary Care,,9ec4f625-82d3-4757-a43d-655cb7ce1ce1,Havering,Nabil.Clifford@nhs.net,Yaseen.Adam@nhs.net,https://europe-west2-ppe-inventory-demo.cloudfunctions.net/register?site=Avon Road Surgery RM14 1RG&code=9ec4f625-82d3-4757-a43d-655cb7ce1ce1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
